        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 9.40000000e+00,        +7.071067811865e+00,        +7.133764786244e+00,        +1.686690271423e-01,        -6.501549479300e+00,        +2.403140243289e+00
 9.50000000e+00,        +7.071067811865e+00,        +7.140506495601e+00,        +1.668783924782e-01,        -6.406438297641e+00,        +2.642214372894e+00
 9.60000000e+00,        +7.071067811865e+00,        +7.147087966851e+00,        +1.645661694821e-01,        -6.302552288213e+00,        +2.877543231326e+00
 9.70000000e+00,        +7.071067811865e+00,        +7.153468561665e+00,        +1.617420138127e-01,        -6.190038262963e+00,        +3.108806371424e+00
 9.80000000e+00,        +7.071067811865e+00,        +7.159608217746e+00,        +1.584187496865e-01,        -6.069054578650e+00,        +3.335689076432e+00
 9.90000000e+00,        +7.071067811865e+00,        +7.165467695969e+00,        +1.546123355418e-01,        -5.939770913958e+00,        +3.557882759638e+00
 1.00000000e+01,        +7.071067811865e+00,        +7.171008825468e+00,        +1.503418104823e-01,        -5.802368034553e+00,        +3.775085355326e+00
 1.01000000e+01,        +7.071067811865e+00,        +7.176194745179e+00,        +1.456292216278e-01,        -5.657037546450e+00,        +3.987001700856e+00
 1.02000000e+01,        +7.071067811865e+00,        +7.180990140349e+00,        +1.404995326137e-01,        -5.503981638010e+00,        +4.193343909756e+00
 1.03000000e+01,        +7.071067811865e+00,        +7.185361472593e+00,        +1.349805135910e-01,        -5.343412810896e+00,        +4.393831735671e+00
 1.04000000e+01,        +7.071067811865e+00,        +7.189277202019e+00,        +1.291026131888e-01,        -5.175553600266e+00,        +4.588192927072e+00
 1.05000000e+01,        +7.071067811865e+00,        +7.192708000069e+00,        +1.228988130114e-01,        -5.000636284477e+00,        +4.776163572627e+00
 1.06000000e+01,        +7.071067811865e+00,        +7.195626951678e+00,        +1.164044653462e-01,        -4.818902584529e+00,        +4.957488437142e+00
 1.07000000e+01,        +7.071067811865e+00,        +7.198009745475e+00,        +1.096571148643e-01,        -4.630603353457e+00,        +5.131921288003e+00
 1.08000000e+01,        +7.071067811865e+00,        +7.199834850747e+00,        +1.026963051936e-01,        -4.435998255811e+00,        +5.299225212059e+00
 1.09000000e+01,        +7.071067811865e+00,        +7.201083679998e+00,        +9.556337134281e-02,        -4.235355437318e+00,        +5.459172922866e+00
 1.10000000e+01,        +7.071067811865e+00,        +7.201740735966e+00,        +8.830121904353e-02,        -4.028951184762e+00,        +5.611547058178e+00
 1.11000000e+01,        +7.071067811865e+00,        +7.201793742077e+00,        +8.095409216832e-02,        -3.817069576044e+00,        +5.756140467538e+00
 1.12000000e+01,        +7.071067811865e+00,        +7.201233755358e+00,        +7.356732946101e-02,        -3.600002120349e+00,        +5.892756489691e+00
 1.13000000e+01,        +7.071067811865e+00,        +7.200055260965e+00,        +6.618711189350e-02,        -3.378047388370e+00,        +6.021209219472e+00
 1.14000000e+01,        +7.071067811865e+00,        +7.198256247541e+00,        +5.886020203174e-02,        -3.151510632532e+00,        +6.141323763685e+00
 1.15000000e+01,        +7.071067811865e+00,        +7.195838262742e+00,        +5.163367685675e-02,        -2.920703397324e+00,        +6.252936485421e+00
 1.16000000e+01,        +7.071067811865e+00,        +7.192806448381e+00,        +4.455465554164e-02,        -2.685943119888e+00,        +6.355895236227e+00
 1.17000000e+01,        +7.071067811865e+00,        +7.189169554721e+00,        +3.767002373380e-02,        -2.447552721192e+00,        +6.450059575555e+00
 1.18000000e+01,        +7.071067811865e+00,        +7.184939933612e+00,        +3.102615593071e-02,        -2.205860188142e+00,        +6.535300976995e+00
 1.19000000e+01,        +7.071067811865e+00,        +7.180133510236e+00,        +2.466863756946e-02,        -1.961198147057e+00,        +6.611503020865e+00
 1.20000000e+01,        +7.071067811865e+00,        +7.174769733388e+00,        +1.864198847254e-02,        -1.713903428863e+00,        +6.678561572800e+00
 1.21000000e+01,        +7.071067811865e+00,        +7.168871504321e+00,        +1.298938930587e-02,        -1.464316626370e+00,        +6.736384948001e+00
 1.22000000e+01,        +7.071067811865e+00,        +7.162465084320e+00,        +7.752412709405e-03,        -1.212781643916e+00,        +6.784894060779e+00
 1.23000000e+01,        +7.071067811865e+00,        +7.155579981299e+00,        +2.970760754611e-03,        -9.596452396485e-01,        +6.824022559001e+00
 1.24000000e+01,        +7.071067811865e+00,        +7.148248815838e+00,        -1.317989631819e-03,        -7.052565607440e-01,        +6.853716942952e+00
 1.25000000e+01,        +7.071067811865e+00,        +7.140507167208e+00,        -5.078631664517e-03,        -4.499666718917e-01,        +6.873936668075e+00
 1.26000000e+01,        +7.071067811865e+00,        +7.132393400068e+00,        -8.278562538421e-03,        -1.941280774515e-01,        +6.884654231038e+00
 1.27000000e+01,        +7.071067811865e+00,        +7.123948472629e+00,        -1.088800457799e-02,        +6.190576222969e-02,        +6.885855238495e+00
 1.28000000e+01,        +7.071067811865e+00,        +7.115215727207e+00,        -1.288021222073e-02,        +3.177809197677e-01,        +6.877538457980e+00
 1.29000000e+01,        +7.071067811865e+00,        +7.106240664216e+00,        -1.423166342505e-02,        +5.731434943012e-01,        +6.859715850321e+00
 1.30000000e+01,        +7.071067811865e+00,        +7.097070700758e+00,        -1.492223416839e-02,        +8.276401089266e-01,        +6.832412583048e+00
 1.31000000e+01,        +7.071067811865e+00,        +7.087754915064e+00,        -1.493535478720e-02,        +1.080918411202e+00,        +6.795667024281e+00
 1.32000000e+01,        +7.071067811865e+00,        +7.078343778179e+00,        -1.425814700494e-02,        +1.332627575848e+00,        +6.749530716634e+00
 1.33000000e+01,        +7.071067811865e+00,        +7.068888874337e+00,        -1.288154059804e-02,        +1.582418808724e+00,        +6.694068330739e+00
 1.34000000e+01,        +7.071067811865e+00,        +7.059442611590e+00,        -1.080036876177e-02,        +1.829945851087e+00,        +6.629357598046e+00
 1.35000000e+01,        +7.071067811865e+00,        +7.050057924325e+00,        -8.013441357474e-03,        +2.074865483119e+00,        +6.555489222621e+00
 1.36000000e+01,        +7.071067811865e+00,        +7.040787969366e+00,        -4.523595349361e-03,        +2.316838025648e+00,        +6.472566771737e+00
 1.37000000e+01,        +7.071067811865e+00,        +7.031685817436e+00,        -3.377218724827e-04,        +2.555527838962e+00,        +6.380706545122e+00
 1.38000000e+01,        +7.071067811865e+00,        +7.022804141782e+00,        +4.533230488534e-03,        +2.790603817585e+00,        +6.280037422820e+00
 1.39000000e+01,        +7.071067811865e+00,        +7.014194905826e+00,        +1.007427648659e-02,        +3.021739879865e+00,        +6.170700691681e+00
 1.40000000e+01,        +7.071067811865e+00,        +7.005909051705e+00,        +1.626643919549e-02,        +3.248615451208e+00,        +6.052849850599e+00
 1.41000000e+01,        +7.071067811865e+00,        +6.997996191613e+00,        +2.308681916995e-02,        +3.470915939785e+00,        +5.926650394709e+00
 1.42000000e+01,        +7.071067811865e+00,        +6.990504303825e+00,        +3.050868761228e-02,        +3.688333203541e+00,        +5.792279578812e+00
 1.43000000e+01,        +7.071067811865e+00,        +6.983479435293e+00,        +3.850160322335e-02,        +3.900566007356e+00,        +5.649926160431e+00
 1.44000000e+01,        +7.071067811865e+00,        +6.976965412679e+00,        +4.703155226548e-02,        +4.107320469209e+00,        +5.499790122949e+00
 1.45000000e+01,        +7.071067811865e+00,        +6.971003563649e+00,        +5.606111121469e-02,        +4.308310494245e+00,        +5.342082379405e+00
 1.46000000e+01,        +7.071067811865e+00,        +6.965632450211e+00,        +6.554963123427e-02,        +4.503258195667e+00,        +5.177024457568e+00
 1.47000000e+01,        +7.071067811865e+00,        +6.960887615810e+00,        +7.545344355830e-02,        +4.691894301421e+00,        +5.004848167043e+00
 1.48000000e+01,        +7.071067811865e+00,        +6.956801347835e+00,        +8.572608473704e-02,        +4.873958545720e+00,        +4.825795249193e+00
 1.49000000e+01,        +7.071067811865e+00,        +6.953402457098e+00,        +9.631854056389e-02,        +5.049200044471e+00,        +4.640117010760e+00
 1.50000000e+01,        +7.071067811865e+00,        +6.950716075753e+00,        +1.071795073803e-01,        +5.217377653782e+00,        +4.448073942146e+00
 1.51000000e+01,        +7.071067811865e+00,        +6.948763475039e+00,        +1.182556693370e-01,        +5.378260310778e+00,        +4.249935321337e+00
 1.52000000e+01,        +7.071067811865e+00,        +6.947561904068e+00,        +1.294919900848e-01,        +5.531627356033e+00,        +4.045978804547e+00
 1.53000000e+01,        +7.071067811865e+00,        +6.947124450831e+00,        +1.408320172666e-01,        +5.677268837033e+00,        +3.836490004682e+00
 1.54000000e+01,        +7.071067811865e+00,        +6.947459926381e+00,        +1.522181980984e-01,        +5.814985792151e+00,        +3.621762058767e+00
 1.55000000e+01,        +7.071067811865e+00,        +6.948572773102e+00,        +1.635922042483e-01,        +5.944590514724e+00,        +3.402095185498e+00
 1.56000000e+01,        +7.071067811865e+00,        +6.950462997752e+00,        +1.748952641550e-01,        +6.065906796911e+00,        +3.177796234111e+00
 1.57000000e+01,        +7.071067811865e+00,        +6.953126129881e+00,        +1.860685008795e-01,        +6.178770153118e+00,        +2.949178225764e+00
 1.58000000e+01,        +7.071067811865e+00,        +6.956553206042e+00,        +1.970532735348e-01,        +6.283028022844e+00,        +2.716559888617e+00
 1.59000000e+01,        +7.071067811865e+00,        +6.960730780077e+00,        +2.077915203149e-01,        +6.378539952946e+00,        +2.480265187792e+00
 1.60000000e+01,        +7.071067811865e+00,        +6.965640959585e+00,        +2.182261011235e-01,        +6.465177759360e+00,        +2.240622851380e+00
 1.61000000e+01,        +7.071067811865e+00,        +6.971261468563e+00,        +2.283011378002e-01,        +6.542825668441e+00,        +1.997965893610e+00
 1.62000000e+01,        +7.071067811865e+00,        +6.977565736009e+00,        +2.379623499480e-01,        +6.611380438168e+00,        +1.752631136292e+00
 1.63000000e+01,        +7.071067811865e+00,        +6.984523010156e+00,        +2.471573843862e-01,        +6.670751459512e+00,        +1.504958729548e+00
 1.64000000e+01,        +7.071067811865e+00,        +6.992098497863e+00,        +2.558361362824e-01,        +6.720860838378e+00,        +1.255291672844e+00
 1.65000000e+01,        +7.071067811865e+00,        +7.000253528495e+00,        +2.639510600610e-01,        +6.761643458570e+00,        +1.003975337242e+00
 1.66000000e+01,        +7.071067811865e+00,        +7.008945741554e+00,        +2.714574682366e-01,        +6.793047026301e+00,        +7.513569897121e-01
 1.67000000e+01,        +7.071067811865e+00,        +7.018129297111e+00,        +2.783138163863e-01,        +6.815032096814e+00,        +4.977853203242e-01
 1.68000000e+01,        +7.071067811865e+00,        +7.027755108015e+00,        +2.844819725461e-01,        +6.827572083730e+00,        +2.436099729927e-01
 1.69000000e+01,        +7.071067811865e+00,        +7.037771092707e+00,        +2.899274693990e-01,        +6.830653251764e+00,        -1.081891957643e-02
 1.70000000e+01,        +7.071067811865e+00,        +7.048122447339e+00,        +2.946197377136e-01,        +6.824274693481e+00,        -2.651511962005e-01
 1.71000000e+01,        +7.071067811865e+00,        +7.058751935812e+00,        +2.985323195898e-01,        +6.808448290763e+00,        -5.190371223327e-01
 1.72000000e+01,        +7.071067811865e+00,        +7.069600196220e+00,        +3.016430601753e-01,        +6.783198661685e+00,        -7.721278395951e-01
 1.73000000e+01,        +7.071067811865e+00,        +7.080606062116e+00,        +3.039342766263e-01,        +6.748563093476e+00,        -1.024075809435e+00
 1.74000000e+01,        +7.071067811865e+00,        +7.091706896905e+00,        +3.053929032060e-01,        +6.704591462215e+00,        -1.274535250688e+00
 1.75000000e+01,        +7.071067811865e+00,        +7.102838939614e+00,        +3.060106115381e-01,        +6.651346139924e+00,        -1.523162570909e+00
 1.76000000e+01,        +7.071067811865e+00,        +7.113937660207e+00,        +3.057839051572e-01,        +6.588901889646e+00,        -1.769616791394e+00
 1.77000000e+01,        +7.071067811865e+00,        +7.124938122554e+00,        +3.047141876347e-01,        +6.517345749080e+00,        -2.013559965909e+00
 1.78000000e+01,        +7.071067811865e+00,        +7.135775353125e+00,        +3.028078036897e-01,        +6.436776903284e+00,        -2.254657593155e+00
 1.79000000e+01,        +7.071067811865e+00,        +7.146384713412e+00,        +3.000760528349e-01,        +6.347306546919e+00,        -2.492579023107e+00
 1.80000000e+01,        +7.071067811865e+00,        +7.156702274094e+00,        +2.965351752477e-01,        +6.249057736411e+00,        -2.726997857361e+00
 1.81000000e+01,        +7.071067811865e+00,        +7.166665188885e+00,        +2.922063096972e-01,        +6.142165232382e+00,        -2.957592343692e+00
 1.82000000e+01,        +7.071067811865e+00,        +7.176212066025e+00,        +2.871154235042e-01,        +6.026775332599e+00,        -3.184045765027e+00
 1.83000000e+01,        +7.071067811865e+00,        +7.185283335377e+00,        +2.812932146525e-01,        +5.903045695646e+00,        -3.406046823087e+00
 1.84000000e+01,        +7.071067811865e+00,        +7.193821609055e+00,        +2.747749863166e-01,        +5.771145155406e+00,        -3.623290016918e+00
 1.85000000e+01,        +7.071067811865e+00,        +7.201772033568e+00,        +2.676004942138e-01,        +5.631253526421e+00,        -3.835476016562e+00
 1.86000000e+01,        +7.071067811865e+00,        +7.209082631474e+00,        +2.598137673355e-01,        +5.483561400069e+00,        -4.042312032092e+00
 1.87000000e+01,        +7.071067811865e+00,        +7.215704630543e+00,        +2.514629027517e-01,        +5.328269931468e+00,        -4.243512178210e+00
 1.88000000e+01,        +7.071067811865e+00,        +7.221592778526e+00,        +2.425998353279e-01,        +5.165590616910e+00,        -4.438797834577e+00
 1.89000000e+01,        +7.071067811865e+00,        +7.226705641610e+00,        +2.332800833317e-01,        +4.995745061596e+00,        -4.627898001999e+00
 1.90000000e+01,        +7.071067811865e+00,        +7.231005884771e+00,        +2.235624710451e-01,        +4.818964737352e+00,        -4.810549654548e+00
 1.91000000e+01,        +7.071067811865e+00,        +7.234460532244e+00,        +2.135088296309e-01,        +4.635490729981e+00,        -4.986498087618e+00
 1.92000000e+01,        +7.071067811865e+00,        +7.237041206453e+00,        +2.031836776368e-01,        +4.445573475836e+00,        -5.155497261869e+00
 1.93000000e+01,        +7.071067811865e+00,        +7.238724343807e+00,        +1.926538826438e-01,        +4.249472487175e+00,        -5.317310142915e+00
 1.94000000e+01,        +7.071067811865e+00,        +7.239491385880e+00,        +1.819883056922e-01,        +4.047456065825e+00,        -5.471709036557e+00
 1.95000000e+01,        +7.071067811865e+00,        +7.239328944599e+00,        +1.712574302329e-01,        +3.839801004671e+00,        -5.618475919230e+00
 1.96000000e+01,        +7.071067811865e+00,        +7.238228940172e+00,        +1.605329774655e-01,        +3.626792276472e+00,        -5.757402763294e+00
 1.97000000e+01,        +7.071067811865e+00,        +7.236188710627e+00,        +1.498875100281e-01,        +3.408722709507e+00,        -5.888291856662e+00
 1.98000000e+01,        +7.071067811865e+00,        +7.233211091967e+00,        +1.393940261025e-01,        +3.185892649592e+00,        -6.010956116192e+00
